ID,_Map,_Name,_type
726,114-04,癩蛤蟆山 3,PARTY
727,114-05,跟我一起做,PARTY
728,114-06,秘密基地,PARTY
729,114-07,冒險的聲音,Safety zone
730,114-08,冒險的聲音,Safety zone
731,114-09,冒險的聲音,Safety zone
732,114-10,冒險的聲音,Safety zone
733,114-11,冒險的聲音,Safety zone
734,114-12,冒險的聲音,Safety zone
735,114-13,冒險的聲音,Safety zone
736,114-14,冒險的聲音,Safety zone
737,114-15,冒險的聲音,Safety zone
738,114-16,冒險的聲音,Safety zone
739,115-00,癩蛤蟆洞窟 1,PARTY
740,115-01,海市蜃樓,PARTY
741,115-02,癩蛤蟆洞窟 2,PARTY
742,115-03,骷顱頭,PARTY
743,115-04,癩蛤蟆洞窟 3,PARTY
744,115-05,猜謎高手,PARTY
745,115-06,秘密基地,PARTY
746,116-00,癩蛤蟆山谷,PARTY
747,117-00,癩蛤蟆海邊 1,Field
748,117-01,癩蛤蟆海邊 2,Field
749,117-02,癩蛤蟆村落,Safety zone
750,117-03,癩蛤蟆村落 農田,Safety zone
751,117-04,納伊將軍的器具,Safety zone
752,117-05,鬼怪山入口,Safety zone
753,118-00,廢鐵溪谷入口 1,Field
754,118-01,廢鐵溪谷入口 2,Field
755,118-02,廢鐵溪谷入口 3,Field
756,118-03,廢鐵溪谷入口 4,Field
757,118-04,廢鐵溪谷入口 5,Field
758,119-00,鋼鐵都市,Safety zone
759,120-00,廢鐵溪谷出口 1,Field
760,120-01,廢鐵溪谷出口 2,Field
761,120-02,廢鐵溪谷出口 3,Field
762,120-03,廢鐵溪谷出口 4,Field
763,120-04,廢鐵溪谷出口 5,Field
764,121-00,兵工廠 1,Field
765,121-01,兵工廠 2,Field
766,121-02,兵工廠 3,Field
767,121-03,兵工廠 4,Field
768,122-00,結婚會場,Safety zone
769,123-00,尋找雷比魯道夫 1,Field
770,123-01,尋找雷比魯道夫 2,Field
771,123-02,尋找雷比魯道夫 3,Field
772,123-03,尋找雷比魯道夫 4,Field
773,123-04,尋找雷比魯道夫 5,Field
774,123-05,尋找雷比魯道夫 10,Field
775,123-06,活動地圖,Safety zone
776,123-07,活動地圖,Safety zone
777,123-08,活動地圖,Safety zone
778,123-09,活動地圖,Safety zone
779,123-10,活動地圖,Safety zone
780,123-11,活動地圖,Safety zone
781,123-12,活動地圖,Safety zone
782,123-13,活動地圖,Safety zone
783,123-14,活動地圖,Safety zone
784,123-15,活動地圖,Safety zone
785,123-16,活動地圖,Safety zone
786,123-17,活動地圖,Safety zone
787,123-18,活動地圖,Safety zone
788,123-19,活動地圖,Safety zone
789,123-20,活動地圖,Safety zone
790,123-21,活動地圖,Safety zone
791,123-22,活動地圖,Safety zone
792,123-23,活動地圖,Safety zone
793,123-24,活動地圖,Safety zone
794,123-25,活動地圖,Safety zone
795,123-26,活動地圖,Safety zone
796,123-27,活動地圖,Safety zone
797,123-28,活動地圖,Safety zone
798,123-29,活動地圖,Safety zone
799,123-30,尋找雷比魯道夫 6,Safety zone
800,123-31,尋找雷比魯道夫 7,Safety zone
801,123-32,尋找雷比魯道夫 8,Safety zone
802,123-33,尋找雷比魯道夫 9,Safety zone
803,123-34,有趣的瞪眼睛比賽,Safety zone
804,124-00,格鬥場 物品戰,Safety zone
805,125-00,格鬥場 自由,Safety zone
806,126-00,格鬥場 低重力,Safety zone
807,127-00,格鬥場 海底,Safety zone
808,128-00,格鬥場 金字塔,Safety zone
809,129-00,轉職中心,Safety zone
810,129-01,哥布林內部,Safety zone
811,130-00,精靈樹,Safety zone
812,131-00,花溪谷 1,Field
813,131-01,花溪谷 2,Field
814,131-02,花溪谷 3,Field
815,131-03,花溪谷 4,Field
816,131-04,花溪谷 5,Field
817,132-00,精靈城,PARTY
818,132-01,精靈城,PARTY
819,132-02,精靈城,PARTY
820,133-00,麵包大街,Safety zone
821,134-00,白色教堂 1,Field
822,134-01,白色教堂 2,Field
823,134-02,白色教堂 3,Field
824,134-03,白色教堂 4,Field
825,135-00,黑塔,PARTY
826,135-01,黑塔,PARTY
827,135-02,黑塔,PARTY
828,136-00,金蘭雲系  2,Field
829,136-01,金蘭雲系  4,Field
830,136-02,金蘭雲系  1,Field
831,136-03,金蘭雲系  3,Field
832,137-00,天門,Safety zone
833,138-00,飛空部,PARTY
834,138-01,飛空部,PARTY
835,138-02,飛空部,PARTY
836,139-00,異世界,PARTY
837,139-01,異世界,PARTY
838,139-02,異世界,PARTY
839,140-00,異世界入口,Safety zone
840,141-00,機庫 1,Field
841,141-01,機庫 2,Field
842,141-02,機庫 3,Field
843,141-03,機庫 4,Field
844,141-04,機庫 5,Field
845,142-00,水耕農場 1,Field
846,142-01,水耕農場 2,Field
847,142-02,水耕農場 3,Field
848,143-00,D-拉伯 1,Field
849,143-01,D-拉伯 2,Field
850,143-02,D-拉伯 3,Field
851,143-03,D-拉伯 4,Field
852,143-04,D-拉伯 5,Field
853,143-05,D-拉伯 5,Field
854,143-06,D-拉伯 6,Field
855,144-00,地獄之門,PARTY
856,144-01,地獄之門,PARTY
857,144-02,地獄之門,PARTY
858,145-00,地獄之門,Safety zone
859,146-00,小章魚神殿 1,Field
860,146-01,小章魚神殿 2,Field
861,146-02,小章魚神殿 3,Field
862,146-03,小章魚神殿 4,Field
863,146-04,小章魚神殿 5,Field
864,146-05,小章魚神殿 6,Field
865,146-06,小章魚神殿 7,Field
866,146-07,小章魚神殿 8,Field
867,146-08,小章魚神殿入口,Safety zone
868,147-00,瘋狂礦工的礦場,GINDUN
869,148-00,退休礦工的礦場,GINDUN
870,149-00,貪心礦工的礦場,GINDUN
871,150-00,約束庭園,GINDUN
872,151-00,安息庭園,GINDUN
873,152-00,白日夢庭園,GINDUN
874,153-00,毛絨絨溫泉,GINDUN
875,154-00,雪女溫泉,GINDUN
876,154-01,溫泉,GINDUN
877,155-00,雪爾奇溫泉,GINDUN
878,156-00,開拓者的礦場,Safety zone
879,157-00,停等區 1,Field
880,157-01,停等區 2,Field
881,157-02,停等區 3,Field
882,158-00,羅馬競技場 初級競技場,PARTY
883,158-01,達成大吉!,Safety zone
884,158-02,挑戰! 小吉,Safety zone
885,158-03,挑戰! 中吉,Safety zone
886,158-04,挑戰! 大吉,Safety zone
887,159-00,羅馬競技場 中級競技場,PARTY
888,160-00,羅馬競技場 高級競技場,PARTY
889,161-00,競技場 高難度競技場,PARTY
890,162-00,不祥的房間,Single
891,162-01,廢墟地帶,Single
892,162-02,廢墟地帶,Single
893,162-03,中央地帶,Single
894,162-04,神殿地帶,Single
895,162-05,地上庭園 1,Single
896,162-06,地上庭園 2,Single
897,162-07,吉納蒂亞外圍地帶,Single
898,162-08,星星的領域,Single
899,162-09,變化房間,Single
900,162-10,戰士的地盤 1,Single
901,162-11,治癒房間,Single
902,162-12,聖騎士的領域 1,Single
903,162-13,寶物房間,Single
904,162-14,火的聖地,Single
905,162-15,水的聖地,Single
906,162-16,大地的聖地,Single
907,162-17,風的聖地,Single
908,162-18,懺悔房間,Single
909,162-19,沉思房間,Single
910,162-20,安置室,Single
911,162-21,奧利溫之房,Single
912,162-22,外圍地帶 4,Single
913,162-23,戰士的地盤 2,Single
914,162-24,束縛房間,Single
915,162-25,汙染房間,Single
916,162-26,聖騎士的領域 2,Single
917,162-27,戒指之房,Safety zone
918,162-28,活動神殿慶典,Safety zone
919,163-00,水上庭園,Safety zone
920,163-01,深海地帶 1,Field
921,163-02,深海地帶 2,Field
922,163-03,深海地帶 3,Field
923,163-04,治癒房間,Safety zone
924,163-05,變化房間,Safety zone
925,163-06,收藏水族館等候室,Field
926,163-07,收藏水族館,Field
927,163-08,清掃海洋,Field
928,164-00,鋼鐵房間 1,Field
929,164-01,鋼鐵房間 2,Field
930,164-02,鋼鐵房間 1,Field
931,164-03,鋼鐵房間 2,Field
932,165-00,聖歌團室,Safety zone
933,165-01,聖歌團室,Safety zone
934,165-02,聖歌團室,Safety zone
935,166-00,聖騎士的領域 2,Single
936,166-01,聖騎士的領域 3,Single
937,166-02,聖騎士的領域 2,Single
938,166-03,聖騎士的領域 3,Single
939,167-00,火的聖地,Single
940,167-01,火的聖地內部,Single
941,167-02,水的聖地,Single
942,167-03,水的聖地內部,Single
943,167-04,大地的聖地,Single
944,167-05,大地的聖地內部,Single
945,167-06,風的聖地,Single
946,167-07,風的聖地內部,Single
947,167-08,火的聖地,Single
948,167-09,火的聖地內部,Single
949,167-10,水的聖地,Single
950,167-11,水的聖地內部,Single
951,167-12,大地的聖地,Single
952,167-13,大地的聖地內部,Single
953,167-14,風的聖地,Single
954,167-15,風的聖地內部,Single
955,168-00,深海地帶 1,Single
956,168-01,深海地帶 2,Single
957,168-02,深海地帶 3,Single
958,168-03,深海地帶 1,Single
959,168-04,深海地帶 2,Single
960,168-05,深海地帶 3,Single
961,168-06,被污染的海洋,Field
962,169-00,安置室,Single
963,169-01,古代君王的領域,Single
964,169-02,古代君王的領域 1,Single
965,169-03,憤怒之房,Single
966,169-04,不祥的房間,Single
967,169-05,憤怒之房,Single
968,169-06,戰士的地盤 2,Single
969,169-07,戰士的地盤 3,Single
970,169-08,開始,Safety zone
971,169-09,輸了…,Safety zone
972,169-10,贏了!,Safety zone
973,169-11,平手?!,Safety zone
974,169-12,雖然輸了…獎勵,Safety zone
975,169-13,太棒了!,Safety zone
976,170-00,喧鬧的礦場,GINDUN
977,170-01,怪物狩獵派對,Single
978,171-00,夢想庭園,GINDUN
979,172-00,耶比妹妹~★!! 溫泉,GINDUN
980,173-00,吉納蒂亞聖地,Single
981,174-00,空中樓閣,Safety zone
982,175-00,秩序公會房間,guild
983,176-00,混沌公會房間,guild
984,177-00,小章魚神殿,PARTY
985,178-00,神秘森林 1,Field
986,178-01,神秘森林 2,Field
987,178-02,神秘之房,Safety zone
988,178-03,神秘之房,Safety zone
989,178-04,神秘森林深處,Field
990,178-05,訓練場入口,Field
991,179-00,天空海 1,Field
992,179-01,天空海 2,Field
993,179-02,天空海 3,Field
994,179-03,天空海 4,Field
995,180-00,艾爾亞諾勒平原南部 1,Field
996,180-01,艾爾亞諾勒平原南部 2,Field
997,180-02,艾爾亞諾勒平原南部 3,Field
998,180-03,艾爾亞諾勒平原南部 5,Field
999,180-04,艾爾亞諾勒平原南部 4,Field
1000,180-05,艾爾亞諾勒平原南部 6,Field
1001,180-06,艾爾亞諾勒平原南部 7,Field
1002,180-07,艾爾亞諾勒平原南部 8,Field
1003,180-08,艾爾亞諾勒平原南部 4-1,Field
1004,181-00,艾爾亞諾勒平原北部 1,Field
1005,181-01,艾爾亞諾勒平原北部 2,Field
1006,181-02,艾爾亞諾勒平原北部 3,Field
1007,181-03,艾爾亞諾勒平原北部 4,Field
1008,182-00,艾爾亞諾勒平原西部 1,Field
1009,182-01,艾爾亞諾勒平原西部 2,Field
1010,182-02,艾爾亞諾勒平原西部 3,Field
1011,182-03,艾爾亞諾勒平原西部 4,Field
1012,183-00,艾爾亞諾勒平原東部 1,Field
1013,183-01,艾爾亞諾勒平原東部 2,Field
1014,183-02,艾爾亞諾勒平原東部 3,Field
1015,183-03,艾爾亞諾勒平原東部 4,Field
1016,184-00,聯合公會,Safety zone
1017,184-01,公會旅館,Safety zone
1018,184-02,無限迴廊,Safety zone
1019,184-03,無限迴廊,Safety zone
1020,184-04,披風之房,Safety zone
1021,185-00,轉換的聖地,Single
1022,186-00,挑戰! 蛇龍巢穴  1,PARTY
1023,186-01,挑戰! 蛇龍巢穴  2,PARTY
1024,186-02,挑戰! 蛇龍巢穴  3,PARTY
1025,186-03,挑戰! 蛇龍巢穴  4,PARTY
1026,186-04,挑戰! 蛇龍巢穴  5,PARTY
1027,186-05,挑戰! 蛇龍巢穴  6,PARTY
1028,186-06,挑戰! 蛇龍巢穴  7,PARTY
1029,186-07,挑戰! 蛇龍巢穴  8,PARTY
1030,186-08,挑戰! 蛇龍巢穴 入口,PARTY
1031,186-09,挑戰! 蛇龍巢穴 出口,PARTY
1032,186-10,挑戰! 蛇龍巢穴 出口,PARTY
1033,186-11,挑戰! 蛇龍巢穴 出口,PARTY
1034,187-00,挑戰! 極地迷宮 1,PARTY
1035,187-01,挑戰! 極地迷宮 2,PARTY
1036,187-02,挑戰! 極地迷宮 3,PARTY
1037,187-03,挑戰! 極地迷宮 4,PARTY
1038,187-04,挑戰! 極地迷宮 5,PARTY
1039,187-05,挑戰! 極地迷宮 6,PARTY
1040,187-06,挑戰! 極地迷宮 7,PARTY
1041,187-07,挑戰! 極地迷宮 8,PARTY
1042,187-08,挑戰! 極地迷宮 9,PARTY
1043,187-09,挑戰! 極地迷宮10,PARTY
1044,187-10,挑戰! 極地迷宮入口,PARTY
1045,187-11,挑戰! 極地迷宮出口,PARTY
1046,187-12,挑戰! 極地迷宮出口,PARTY
1047,187-13,挑戰! 極地迷宮出口,PARTY
1048,188-00,轉換的聖地,Single
1049,189-00,冬天的極地迷宮,Safety zone
1050,190-00,夏天的原野 1,Field
1051,190-01,夏天的原野 2,Field
1052,191-00,挑戰! 蛇龍巢穴  1,PARTY
1053,191-01,挑戰! 蛇龍巢穴  2,PARTY
1054,191-02,挑戰! 蛇龍巢穴  3,PARTY
1055,191-03,挑戰! 蛇龍巢穴  4,PARTY
1056,191-04,挑戰! 蛇龍巢穴  5,PARTY
1057,191-05,挑戰! 蛇龍巢穴  6,PARTY
1058,191-06,挑戰! 蛇龍巢穴  7,PARTY
1059,191-07,挑戰! 蛇龍巢穴  8,PARTY
1060,191-08,挑戰! 蛇龍巢穴 入口,PARTY
1061,191-09,挑戰! 蛇龍巢穴 出口,PARTY
1062,191-10,挑戰! 蛇龍巢穴 出口,PARTY
1063,191-11,挑戰! 蛇龍巢穴 出口,PARTY
1064,192-00,挑戰! 極地迷宮 1,PARTY
1065,192-01,挑戰! 極地迷宮 2,PARTY
1066,192-02,挑戰! 極地迷宮 3,PARTY
1067,192-03,挑戰! 極地迷宮 4,PARTY
1068,192-04,挑戰! 極地迷宮 5,PARTY
1069,192-05,挑戰! 極地迷宮 6,PARTY
1070,192-06,挑戰! 極地迷宮 7,PARTY
1071,192-07,挑戰! 極地迷宮 8,PARTY
1072,192-08,挑戰! 極地迷宮 9,PARTY
1073,192-09,挑戰! 極地迷宮 10,PARTY
1074,192-10,挑戰! 極地迷宮入口,PARTY
1075,192-11,挑戰! 極地迷宮出口,PARTY
1076,192-12,挑戰! 極地迷宮出口,PARTY
1077,192-13,挑戰! 極地迷宮出口,PARTY
1078,193-00,艾爾亞諾勒山嶽地帶 1,Field
1079,193-01,艾爾亞諾勒山嶽地帶 2,Field
1080,193-02,艾爾亞諾勒山嶽地帶 3,Field
1081,193-03,艾爾亞諾勒山嶽地帶 4,Field
1082,193-04,艾爾亞諾勒山嶽地帶 5,Field
1083,139-05,艾爾亞諾勒山嶽地帶 6,Field
1084,139-06,艾爾亞諾勒山嶽地帶 7,Field
1085,194-00,飛空艇墜落地帶 6,PARTY
1086,194-01,飛空艇墜落地帶 6,PARTY
1087,194-02,飛空艇墜落地帶 6,PARTY
1088,195-00,飛空艇墜落地帶 1,Field
1089,195-01,飛空艇墜落地帶 2,Field
1090,195-02,飛空艇墜落地帶 3,Field
1091,195-03,飛空艇墜落地帶 4,Field
1092,195-04,飛空艇墜落地帶 5,Field
1093,196-00,挑戰! 金字塔入口,PARTY
1094,196-01,挑戰! 金字塔 1,PARTY
1095,196-02,挑戰! 金字塔 2,PARTY
1096,196-03,挑戰! 金字塔 3,PARTY
1097,196-04,挑戰! 金字塔 4,PARTY
1098,196-05,挑戰! 金字塔中央,PARTY
1099,196-06,挑戰! 金字塔 5,PARTY
1100,196-07,挑戰! 金字塔 6,PARTY
1101,196-08,挑戰! 金字塔 7,PARTY
1102,196-09,挑戰! 金字塔 8,PARTY
1103,196-10,挑戰! 金字塔 15,PARTY
1104,196-11,挑戰! 金字塔 16,PARTY
1105,196-12,挑戰! 金字塔 17,PARTY
1106,196-13,挑戰! 金字塔 18,PARTY
1107,196-14,挑戰! 金字塔 10,PARTY
1108,196-15,挑戰! 金字塔 11,PARTY
1109,196-16,挑戰! 金字塔 12,PARTY
1110,196-17,挑戰! 金字塔 13,PARTY
1111,196-18,空房間(體現X),PARTY
1112,196-19,空房間(體現X),PARTY
1113,196-20,秘密房間,PARTY
1114,196-21,秘密房間,PARTY
1115,196-22,秘密房間,PARTY
1116,196-23,秘密房間,PARTY
1117,196-24,挑戰! 金字塔 19,PARTY
1118,196-25,挑戰! 金字塔出口,PARTY
1119,196-26,挑戰! 金字塔 14,PARTY
1120,196-27,挑戰! 金字塔出口,PARTY
1121,196-28,挑戰! 金字塔 9,PARTY
1122,196-29,挑戰! 金字塔出口,PARTY
1123,196-30,挑戰! 金字塔出口,PARTY
1124,196-31,挑戰! 金字塔出口,PARTY
1125,197-00,挑戰! 香格里拉入口,PARTY
1126,197-01,挑戰! 香格里拉 1,PARTY
1127,197-02,挑戰! 香格里拉 2,PARTY
1128,197-03,挑戰! 香格里拉 3,PARTY
1129,197-04,挑戰! 香格里拉 4,PARTY
1130,197-05,挑戰! 香格里拉 5,PARTY
1131,197-06,挑戰! 香格里拉 6,PARTY
1132,197-07,挑戰! 香格里拉 7,PARTY
1133,197-08,挑戰! 香格里拉 8,PARTY
1134,197-09,挑戰! 香格里拉 9,PARTY
1135,197-10,挑戰! 香格里拉 10,PARTY
1136,197-11,挑戰! 香格里拉 11,PARTY
1137,197-12,挑戰! 香格里拉 12,PARTY
1138,197-13,挑戰! 香格里拉 13,PARTY
1139,197-14,挑戰! 香格里拉 14,PARTY
1140,197-15,挑戰! 香格里拉 15,PARTY
1141,197-16,挑戰! 香格里拉 16,PARTY
1142,197-17,挑戰! 香格里拉 17,PARTY
1143,197-18,挑戰! 香格里拉 18,PARTY
1144,197-19,挑戰! 香格里拉 19,PARTY
1145,197-20,挑戰! 香格里拉 20,PARTY
1146,197-21,挑戰! 香格里拉出口,PARTY
1147,197-22,挑戰! 香格里拉出口,PARTY
1148,197-23,挑戰! 香格里拉出口,PARTY
1149,198-00,被遺忘的平原 1,Field
1150,198-01,被遺忘的平原 2,Field
1151,198-02,被遺忘的平原 3,Field
1152,198-03,被遺忘的平原 4,Field
1153,198-04,被遺忘的平原 5,Field
1154,198-05,被遺忘的平原 6,Field
1155,199-00,被遺忘的花園  1,PARTY
1156,199-01,被遺忘的花園  2,PARTY
1157,199-02,被遺忘的花園  3,PARTY
1158,199-03,被遺忘的花園  4,PARTY
1159,199-04,被遺忘的花園  5,PARTY
1160,199-05,被遺忘的花園  6,PARTY
1161,199-06,被遺忘的花園  7,PARTY
1162,199-07,被遺忘的花園  8,PARTY
1163,199-08,被遺忘的花園  8,PARTY
1164,199-09,被遺忘的花園  7,PARTY
1165,199-10,被遺忘的花園  6,PARTY
1166,199-11,被遺忘的花園  5,PARTY
1167,199-12,被遺忘的花園  4,PARTY
1168,199-13,被遺忘的花園  3,PARTY
1169,199-14,被遺忘的花園  2,PARTY
1170,199-15,被遺忘的花園  8,PARTY
1171,199-16,被遺忘的花園  1,PARTY
1172,199-17,被遺忘的花園  1,PARTY
1173,199-18,被遺忘的花園  1,PARTY
1174,199-19,被遺忘的花園  1,PARTY
1175,199-20,愛麗絲的第二座石塔,Safety zone
1176,200-00,佩爾法圖書館大廳,Safety zone
1177,200-01,綜合閱覽室 1,Field
1178,200-02,綜合閱覽室 2,Field
1179,200-03,綜合閱覽室 3,Field
1180,201-00,魔法書閱覽室 1,PARTY
1181,201-01,魔法書閱覽室 2,PARTY
1182,201-02,魔法書閱覽室 3,PARTY
1183,201-03,魔法書閱覽室 4,PARTY
1184,201-04,魔法書閱覽室 5,PARTY
1185,201-05,魔法書閱覽室 6,PARTY
1186,201-06,魔法書閱覽室 7,PARTY
1187,201-07,魔法書閱覽室 8,PARTY
1188,201-08,魔法書閱覽室 9,PARTY
1189,201-09,魔法書閱覽室 10,PARTY
1190,201-10,魔法書閱覽室 11,PARTY
1191,201-11,秘密書庫,PARTY
1192,201-12,秘密書庫,PARTY
1193,201-13,秘密書庫,PARTY
1194,201-14-0,活動圖書館大廳,PARTY
1195,201-15-0,活動圖書館,PARTY
1196,201-16-0,活動圖書館,PARTY
1197,201-17-0,活動圖書館,PARTY
1198,201-18-0,活動圖書館 獎勵房間,PARTY
1199,201-19-0,活動圖書館,PARTY
1200,201-20-0,愛麗絲的第一座石塔,Safety zone
1201,202-00,香格里拉1,Single
1202,202-01,香格里拉2,Single
1203,202-02,香格里拉3,Single
1204,202-03,香格里拉4,Single
1205,202-04,香格里拉5,Single
1206,202-05,香格里拉玄武房,Single
1207,202-06,香格里拉玄武房,Single
1208,202-07,香格里拉玄武房,Single
1209,202-08,香格里拉玄武房,Single
1210,202-09,香格里拉玄武房,Single
1211,202-10,香格里拉玄武房,Single
1212,202-11,香格里拉玄武房,Single
1213,202-12,香格里拉玄武房,Single
1214,202-13,香格里拉3,Single
1215,203-00,彩虹釣魚場,Safety zone
1216,203-01,彩虹釣魚場,Safety zone
1217,203-02,公會釣魚場,guild
1218,203-03,公會釣魚場,guild
1219,203-04,像訓練一樣的休息,Field
1220,204-00,老虎寺 1,PARTY
1221,204-01,老虎寺 2,PARTY
1222,204-02,老虎寺 龍虎關,PARTY
1223,204-03,老虎寺 老虎閣,PARTY
1224,205-00,貝羅斯酒館,Single
1225,205-01,貝羅斯酒館,Single
1226,205-02,貝羅斯酒館,Single
1227,206-00,老虎寺 1,PARTY
1228,206-01,老虎寺 2,PARTY
1229,206-02,老虎寺 龍虎關,PARTY
1230,206-03,老虎寺 老虎閣,PARTY
1231,207-00,彩虹島世界大廳,Safety zone
1232,207-01,怪物慶典,Safety zone
1233,207-02,往上爬,Safety zone
1234,207-03,彩虹島世界 紀念拍攝地,Safety zone
1235,207-04,彩虹島世界大廳,Safety zone
1236,207-05,彩虹島世界影波克,Safety zone
1237,207-06,彩虹島世界爬呀爬大樹,Safety zone
1238,207-07,彩虹島世界GM照片,Safety zone
1239,207-08,彩虹島世界碳礦體驗,Safety zone
1240,207-09,彩虹島世界碳礦體驗,Safety zone
1241,207-10,彩虹島世界碳礦體驗,Safety zone
1242,207-11,彩虹島世界遊樂園,Safety zone
1243,207-12,彩虹島世界恐怖特輯,Safety zone
1244,207-13,彩虹島世界跳繩,Safety zone
1245,207-14,彩虹島世界大廳,Safety zone
1246,207-15,咻!怪物終點,Safety zone
1247,207-16,無限防守,Safety zone
1248,207-17,無限感謝獎勵,Safety zone
1249,207-18,怪物防守獎勵房,Safety zone
1250,207-19,怪物防守大廳,Safety zone
1251,207-20,無限感謝!跑跑跑!!,Safety zone
1252,207-21,沙漠地帶,Safety zone
1253,207-22,崩壞之塔塔頂,Safety zone
1254,208-00,星光平原 1,Field
1255,208-01,星光平原 2,Field
1256,208-02,星光平原 3,Field
1257,208-03,星光平原 4,Field
1258,208-04,星光平原 5,Field
1259,208-05,星光平原 6,Field
1260,208-06,銀光住宅入口,Safety zone
1261,209-00,星座峭壁,PARTY
1262,209-01,星座峭壁,PARTY
1263,209-02,星座峭壁,PARTY
1264,209-03,星座峭壁,PARTY
1265,210-00,銀光住宅,Safety zone
1266,210-01,星星搖籃入口,Safety zone
1267,210-02,神秘小矮人倉庫,Safety zone
1268,211-00,星星搖籃 1,PARTY
1269,211-01,星星搖籃 2,PARTY
1270,211-02,星星搖籃 3,PARTY
1271,211-03,星星搖籃 4,PARTY
1272,211-04,星星搖籃 心臟地帶,PARTY
1273,211-05,星星搖籃 3,PARTY
1274,211-06,星星搖籃 3,PARTY
1275,211-07,星星搖籃 心臟地帶,PARTY
1276,211-08,星星搖籃 心臟地帶,PARTY
1277,211-09,星星搖籃 心臟地帶,PARTY
1278,211-10,星星搖籃 心臟地帶,PARTY
1279,211-11,星星搖籃 心臟地帶,PARTY
1280,211-12,星星搖籃 心臟地帶,PARTY
1281,212-00,限時闖關 星星搖籃 1,PARTY
1282,212-01,限時闖關 星星搖籃 2,PARTY
1283,212-02,限時闖關 星星搖籃 3,PARTY
1284,212-03,限時闖關 星星搖籃 4,PARTY
1285,212-04,限時闖關 星星搖籃 5,PARTY
1286,212-05,限時闖關 星星搖籃 心臟地帶,PARTY
1287,212-06,獎勵之房,PARTY
1288,212-07,獎勵之房,PARTY
1289,212-08,獎勵之房,PARTY
1290,213-00,強尼船長的房間,PARTY
1291,213-01,海妖的房間,PARTY
1292,214-00,恐怖村莊 1,PARTY
1293,214-01,恐怖村莊 2,PARTY
1294,214-02,恐怖村莊 3,PARTY
1295,214-03,恐怖村莊 4,PARTY
1296,214-04,恐怖村莊 祭殿,PARTY
1297,215-00,恐怖村莊 1,PARTY
1298,215-01,恐怖村莊 2,PARTY
1299,215-02,恐怖村莊 3,PARTY
1300,215-03,恐怖村莊 4,PARTY
1301,215-04,恐怖村莊 祭殿,PARTY
1302,216-00,古木林,Single
1303,216-01,古木林,Single
1304,217-00,釣魚王選拔大賽,Safety zone
1305,218-00,克杜卡心臟,PARTY
1306,218-01,克杜卡心臟,PARTY
1307,218-02,克杜卡心臟,PARTY
1308,219-00,貓頭鷹城 1,PARTY
1309,219-01,貓頭鷹城 1,PARTY
1310,219-02,貓頭鷹城 1,PARTY
1311,219-03,貓頭鷹城 1,PARTY
1312,220-00,格鬥場 奧亦奇,Safety zone
1313,221-00,131F,Single
1314,221-01,132F,Single
1315,221-02,133F,Single
1316,221-03,134F,Single
1317,221-04,135F,Single
1318,221-05,136F,Single
1319,221-06,137F,Single
1320,221-07,138F,Single
1321,221-08,139F,Single
1322,221-09,140F,Single
1323,221-10,獎勵之房,Single
1324,221-11,獎勵之房,Single
1325,222-00,141F,Single
1326,222-01,142F,Single
1327,222-02,143F,Single
1328,222-03,144F,Single
1329,222-04,145F,Single
1330,222-05,146F,Single
1331,222-06,147F,Single
1332,222-07,148F,Single
1333,222-08,149F,Single
1334,222-09,150F,Single
1335,222-10,獎勵之房,Single
1336,222-11,獎勵之房,Single
1337,223-00,151F,Single
1338,223-01,152F,Single
1339,223-02,153F,Single
1340,223-03,154F,Single
1341,223-04,155F,Single
1342,223-05,156F,Single
1343,223-06,157F,Single
1344,223-07,158F,Single
1345,223-08,159F,Single
1346,223-09,160F,Single
1347,223-10,獎勵之房,Single
1348,223-11,獎勵之房,Single
1349,224-00,161F,Single
1350,224-01,162F,Single
1351,224-02,163F,Single
1352,224-03,164F,Single
1353,224-04,165F,Single
1354,224-05,166F,Single
1355,224-06,167F,Single
1356,224-07,168F,Single
1357,224-08,169F,Single
1358,224-09,170F,Single
1359,224-10,獎勵之房,Single
1360,224-11,獎勵之房,Single
1361,225-00,171F,Single
1362,225-01,172F,Single
1363,225-02,173F,Single
1364,225-03,174F,Single
1365,225-04,175F,Single
1366,225-05,176F,Single
1367,225-06,177F,Single
1368,225-07,178F,Single
1369,225-08,179F,Single
1370,225-09,180F,Single
1371,225-10,獎勵之房,Single
1372,225-11,獎勵之房,Single
1373,226-00,181F,Single
1374,226-01,182F,Single
1375,226-02,183F,Single
1376,226-03,184F,Single
1377,226-04,185F,Single
1378,226-05,186F,Single
1379,226-06,187F,Single
1380,226-07,188F,Single
1381,226-08,189F,Single
1382,226-09,190F,Single
1383,226-10,獎勵之房,Single
1384,226-11,獎勵之房,Single
1385,227-00,191F,Single
1386,227-01,192F,Single
1387,227-02,193F,Single
1388,227-03,194F,Single
1389,227-04,195F,Single
1390,227-05,196F,Single
1391,227-06,197F,Single
1392,227-07,198F,Single
1393,227-08,199F,Single
1394,227-09,200F,Single
1395,227-10,獎勵之房,Single
1396,227-11,獎勵之房,Single
1397,228-00,悲鳴海岸 1,Field
1398,228-01,悲鳴海岸 2,Field
1399,228-02,悲鳴海岸 3,Field
1400,228-03,悲鳴海岸 4,Field
1401,229-00,崩壞之塔最底層,PARTY
1402,230-00,華納海姆 崩壞之塔 1,Field
