ID,_Sequence,_ImageResource,_Type,_Message_Ani_Index1,_Message_Probability1,_Message1_1,_Message1_2,_Message1_3,_Message_Ani_Index2,_Message_Probability2,_Message2_1,_Message2_2,_Message2_3,_Message_Ani_Index3,_Message_Probability3,_Message3_1,_Message3_2,_Message3_3,_Stage,_Name,_Icon,_IconIndex,_Description,_Tip,_Name_Visible,_Hp_Visible,_Creation_FX,_Shadow_Visible,_Mark_Icon,_Mark_IconIndex,_BossHPCount
812009905,1_103_01,1_103_01_10,2,0,33,啊啊~ 我的命好苦啊…。,,,0,33,哥哥又在做什麼呀。,,,0,33,龍克斯雖然很聰明，但是太兇殘了…。,,,21,托勒妮亞,10005000,75,,,1,0,0,1,0,0,1
812009906,1_102_99,1_102_99_10,2,0,33,托勒妮亞姐姐顧慮太多了。,,,0,33,生活一直都是快樂的。,,,0,33,,,,21,龍克斯,10005000,76,,,1,0,0,1,0,0,1
812009907,1_099_01,1_099_01_10,2,0,33,海伊凱爾是賣武器的。,海伊凱爾很正直,海伊凱爾是長子。,0,33,海伊凱爾是龍克斯和托勒妮亞的哥哥。,,,0,33,,,,28,海依凱爾,10005000,74,,,1,0,0,1,0,0,1
812009908,1_099_02,1_099_02_10,2,0,33,啊啊~ 我的命好苦啊…。,,,0,33,哥哥又在做什麼呀。,,,0,33,龍克斯雖然很聰明，但是太兇殘了…。,,,28,托勒妮亞,10005000,75,,,1,0,0,1,0,0,1
812009909,1_099_03,1_099_03_10,2,0,33,托勒妮亞姐姐顧慮太多了。,,,0,33,生活一直都是快樂的。,,,0,33,,,,28,龍克斯,10005000,76,,,1,0,0,1,0,0,1
812009910,1_099_01,1_099_01_10,2,0,33,海伊凱爾是賣武器的。,海伊凱爾很正直,海伊凱爾是長子。,0,33,海伊凱爾是龍克斯和托勒妮亞的哥哥。,,,0,33,,,,29,海依凱爾,10005000,74,,,1,0,0,1,0,0,1
812009911,1_099_02,1_099_02_10,2,0,33,啊啊~ 我的命好苦啊…。,,,0,33,哥哥又在做什麼呀。,,,0,33,龍克斯雖然很聰明，但是太兇殘了…。,,,29,托勒妮亞,10005000,75,,,1,0,0,1,0,0,1
812009912,1_099_03,1_099_03_10,2,0,33,托勒妮亞姐姐顧慮太多了。,,,0,33,生活一直都是快樂的。,,,0,33,,,,29,龍克斯,10005000,76,,,1,0,0,1,0,0,1
812009913,1_102_95,1_102_95_10,2,0,50,海伊凱爾還在這裡賣武器呢。,海伊凱爾很正直,海伊凱爾是長子。,0,50,海伊凱爾是跟龍克斯和托勒妮亞一起來的。,,,0,0,,,,53,海伊凱爾,10005000,74,,,1,0,0,1,0,0,1
812009914,1_102_97,1_102_97_10,2,0,33,這一路辛苦了~。,,,0,33,哥哥又在做什麼呀。,,,0,33,龍克斯- 過來幫我-。,,,53,托勒妮亞,10005000,75,,,1,0,0,1,0,0,1
812009915,1_102_96,1_102_96_10,2,0,33,歡迎來到史前村！,,,0,33,生活一直都是快樂的。,,,0,33,,,,53,龍克斯,10005000,76,,,1,0,0,1,0,0,1
812009916,1_100_13,1_100_15_10,2,0,33,,,,0,33,,,,0,33,,,,"59,465",修普勒,10005000,0,,,1,0,0,1,0,0,1
812009917,1_100_14,1_100_14_10,2,0,33,,,,0,33,,,,0,33,,,,"175,464",修普勒,10005000,0,,,1,0,0,1,0,0,1
812009918,1_100_15,1_100_13_10,2,0,33,,,,0,33,,,,0,33,,,,"176,466",修普勒,10005000,0,,,1,0,0,1,0,0,1
812010000,1_100_01,1_100_01_10,2,0,33,吼！哈！這裡是吉恩蒂亞郵局。,真的很快哦。,所以一直很忙哦。,0,33,呼！哈！我是郵差。,偶爾很想休息一下。,但是一點空隙都不給我。,0,33,哦！哈！給我信吧，我會幫你送到。,郵差天天催，真煩。,偶爾想拋開一切逃走。,***,郵差,10005000,73,,,1,0,0,1,0,0,1
812010001,1_100_02,1_100_02_10,2,0,33,Ciao！快來美妝店吧~~,,,0,33,Yo-hoo-看到美妝店了。,,,0,33,啊…想念客來一得了。,,,"6,295",寶妮,10005000,80,,,1,0,0,1,0,0,1
812010002,1_100_03,1_100_03_10,2,0,0,,,,0,0,,,,0,0,,,,"4,13,15,22,31,45,47,378",耶比妹妹,10005000,82,,,1,0,0,1,0,0,1
812010003,1_100_04,1_100_04_10,2,0,0,,,,0,0,,,,0,0,,,,"1,2,207,79,95,337",耶比弟弟,10005000,83,,,1,0,0,1,0,0,1
812010004,1_100_05,1_100_05_10,2,0,0,,,,0,0,,,,0,0,,,,"1,2,207,79,95,337",耶比姊姊,10005000,84,,,1,0,0,1,0,0,1
812010005,1_100_06,1_100_06_10,2,0,0,,,,0,0,,,,0,0,,,,"1,2,207,79,95,337",耶比哥哥,10005000,85,,,1,0,0,1,0,0,1
812010006,1_100_07,1_100_07_10,2,0,0,,,,0,0,,,,0,0,,,,"1,2,207,79,95,337",粉粉耶比,10005000,86,,,1,0,0,1,0,0,1
812010007,1_100_08,1_100_08_10,2,0,0,,,,0,0,,,,0,0,,,,"2,6",比昂卡,10005000,89,,,1,0,0,1,0,0,1
812010008,1_100_09,1_100_09_10,2,0,0,,,,0,0,,,,0,0,,,,"9,17,45,46,207,232,338,359,378,407",卡塔利那,10005000,87,,,1,0,0,1,0,0,1
812010009,1_100_10,1_100_10_10,2,0,0,,,,0,0,,,,0,0,,,,"17,45,46,232",強尼船長,10005000,88,,,1,0,0,1,0,0,1
812010010,1_102_04,1_102_04_10,2,0,33,卡呀呀~~,,,0,33,尋找伴侶動物吧~~,,,0,33,寵物專營店~。,,,***,賽蘿,10005000,97,,,1,0,0,1,0,0,1
812010011,1_100_12,1_100_12_10,2,0,33,正在準備新的活動,,,0,33,正在準備新的活動,,,0,33,正在準備新的活動,,,"2,119,207,232,445,455,463,473,488,489",兔女郎,10005000,98,,,1,0,0,1,0,0,1
812010021,1_100_17,1_100_17_10,2,0,0,,,,0,0,,,,0,0,,,,52,穆亞和喬艾,10005000,107,,,1,0,0,1,0,0,1
812010022,1_103_08,1_103_08_10,2,0,0,,,,0,0,,,,0,0,,,,52,穆亞和喬艾,10005000,107,,,1,0,0,1,0,0,1
812010023,1_100_16,1_100_16_10,2,0,0,,,,0,0,,,,0,0,,,,2,穆亞和喬艾,10005000,107,,,1,0,0,1,0,0,1
812010031,1_100_23,1_100_23_10,2,0,0,,,,0,0,,,,0,0,,,,202,蕭羽,10005000,46,,,1,0,0,1,0,0,1
812010032,1_100_23,1_100_23_10,2,0,0,,,,0,0,,,,0,0,,,,202,蕭羽,10005000,46,,,1,0,0,1,0,0,1
812010041,1_100_20,1_100_20_10,2,0,0,,,,0,0,,,,0,0,,,,"202,232",卡茲諾,10005000,109,,,1,0,0,1,0,0,1
812010042,1_100_20,1_100_20_10,2,0,0,,,,0,0,,,,0,0,,,,19,卡茲諾,10005000,109,,,1,0,0,1,0,0,1
812010051,1_103_10,1_103_10_10,2,0,0,,,,0,0,,,,0,0,,,,***,黑月公主,10005000,110,,,1,0,0,1,0,0,1
812010061,1_100_21,1_100_21_10,2,0,0,,,,0,0,,,,0,0,,,,"18,64",凡 基歐,10005000,111,,,1,0,0,1,0,0,1
812010062,1_100_21,1_100_21_10,2,0,0,,,,0,0,,,,0,0,,,,"64,65",凡 基歐,10005000,111,,,1,0,0,1,0,0,1
812010071,1_102_08,1_102_08_10,2,0,0,,,,0,0,,,,0,0,,,,62,雷比,10005000,108,,,1,0,0,1,0,0,1
812010072,1_102_08,1_102_08_10,2,0,0,,,,0,0,,,,0,0,,,,6,雷比,10005000,108,,,1,0,0,1,0,0,1
812010081,1_100_22,1_100_22_10,2,0,0,,,,0,0,,,,0,0,,,,65,佳蒂亞 樹,10005000,112,,,1,0,0,1,0,0,1
812010082,1_100_22,1_100_22_10,2,0,0,,,,0,0,,,,0,0,,,,65,佳蒂亞 樹,10005000,112,,,1,0,0,1,0,0,1
812010083,1_100_24,1_100_24_10,2,0,33,煉金術的守護神赫耳墨斯神，也稱作愛馬仕。,雖然叫愛馬仕…卻和名牌沒什麼關系。,,0,33,冶金術的象徵有薩菲羅斯，烏洛波洛斯等。,,,0,33,…咿呀，藥合錯了。,,,"2,6",碧安卡,10005000,113,,,1,0,0,1,0,0,1
812010084,1_008_01,1_008_01_10,2,0,33,找到。…武器。給我。,,,0,33,…之前。是給。傭兵戰鬥團。提供。武器。,,,0,33,…討厭。黑暗。波利斯。,,,"67,82",默克爾,10005000,114,,,1,0,0,1,0,0,1
812010085,1_008_02,1_008_02_10,2,0,33,好久沒有人來拜訪了！,,,0,0,,,,0,0,,,,"16,67",魯道夫,10005000,115,,,1,0,0,1,0,0,1
812010086,1_008_03,1_008_03_10,2,0,33,喲哦呼唔-~~~,,,0,0,,,,0,0,,,,"6,67",艾瑪,10005000,116,,,1,0,0,1,0,0,1
812010087,1_008_04,1_008_04_10,2,0,33,（磨蹭磨蹭）,,,0,0,,,,0,0,,,,67,可兒,10005000,117,,,1,0,0,1,0,0,1
812010088,1_008_05,1_008_05_10,2,0,33,女士，請進。,,,0,0,,,,0,0,,,,67,亞瑟,10005000,118,,,1,0,0,1,0,0,1
812010089,1_008_06,1_008_06_10,2,0,33,需要青年時可以隨時差遣。,,,0,0,,,,0,0,,,,67,賽巴斯汀,10005000,119,,,1,0,0,1,0,0,1
812010090,1_008_07,1_008_07_10,2,0,33,(茲茲),,,0,0,,,,0,0,,,,67,情人,10005000,120,,,1,0,0,1,0,0,1
812010091,1_008_08,1_008_08_10,2,0,33,Ooops-,,,0,0,,,,0,0,,,,"67,68,89",索妮爾,10005000,121,,,1,0,0,1,0,0,1
812010092,1_008_09,1_008_09_10,2,0,33,嘿-咻，嘿-咻。呼嗚嗚。,,,0,0,,,,0,0,,,,"14,67",瑪利,10005000,122,,,1,0,0,1,0,0,1
812010093,1_008_10,1_008_10_10,2,0,33,沙拉啞啦邦?啦邦吥~~,,,0,0,,,,0,0,,,,67,拉裡薩,10005000,123,,,1,0,0,1,0,0,1
812010094,1_008_11,1_008_11_10,2,0,33,這個線路不太安全，再重新連接一下吧。,,,0,33,啊啊，女士。我想從現在開始往那裡走。,,,0,0,,,,"67,82,85,232",安娜史塔莎,10005000,124,,,1,0,0,1,0,0,1
812010095,1_008_12,1_008_12_10,2,0,0,,,,0,0,,,,0,0,,,,"42,57,111,119,207,232,338,359,378,407,415",特列奧,10005000,125,,,1,0,0,1,0,0,1
812010096,1_102_05,1_102_05_10,2,0,33,在為優雅高級的生活努力。,,,0,33,人生當中，健康人生是最好的。,,,0,0,,,,6,托尼奧,10005000,126,,,1,0,0,1,0,0,1
812010097,1_102_05,1_102_05_10,2,0,33,去亞特蘭提斯的潛水艇是在這裡準備的。,,,0,0,,,,0,0,,,,33,托尼奧,10005000,126,,,1,0,0,1,0,0,1
812010098,1_100_26,1_100_26_10,2,0,0,,,,0,0,,,,0,0,,,,46,卡塔琳娜,10005000,127,,,1,0,0,1,0,0,1
812010099,1_100_26,1_100_26_10,2,0,0,,,,0,0,,,,0,0,,,,46,卡塔琳娜,10005000,127,,,1,0,0,1,0,0,1
812010100,1_100_27,1_100_27_10,2,0,33,啤啤露麻 啤啤露麻 麻露啤啤 吟嚇咧咧咧?,,,0,33,嘛哈-裡克-嘛哈-裡達 炎炎巴拉炎炎-?,,,0,33,巴布理科！佩魯克 拉布林 挖地鏟工 林庫魯~☆,,,"2,16,203",喬基,10005000,128,,,1,0,0,1,0,0,1
812010101,1_100_28,1_100_28_10,2,0,33,主公駕到！,,,0,0,,,,0,0,,,,"15,43",影子忍者王,10005000,129,,,1,0,0,1,0,0,1
812010102,1_100_29,1_100_29_10,2,0,0,,,,0,0,,,,0,0,,,,35,女王蜂,10005000,130,,,1,0,0,1,0,0,1
812010103,1_100_30,1_100_30_10,2,0,0,,,,0,0,,,,0,0,,,,48,吟遊詩人珍,10005000,131,,,1,0,0,1,0,0,1
812010104,1_100_31,1_100_31_10,2,0,0,,,,0,0,,,,0,0,,,,"81,83,232",奉春植,10005000,132,,,1,0,0,1,0,0,1
812010105,1_100_32,1_100_32_10,2,0,0,,,,0,0,,,,0,0,,,,"81,83,232",大臣,10005000,133,,,1,0,0,1,0,0,1
812010106,1_100_33,1_100_33_10,2,0,0,,,,0,0,,,,0,0,,,,***,夏洛,10005000,134,,,1,0,0,1,0,0,1
812090000,1_900_01,1_900_01_10,2,0,0,,,,0,0,,,,0,0,,,,465,中立植物,0,0,,,0,0,0,0,0,0,1
812090001,1_900_02,1_900_01_10,2,0,0,,,,0,0,,,,0,0,,,,465,中立植物,0,0,,,0,0,0,0,0,0,1
812090002,1_900_03,1_900_01_10,2,0,0,,,,0,0,,,,0,0,,,,465,中立植物,0,0,,,0,0,0,0,0,0,1
812090003,1_900_04,1_900_01_10,2,0,0,,,,0,0,,,,0,0,,,,465,中立植物,0,0,,,0,0,0,0,0,0,1
812090100,1_901_01,1_901_01_10,2,0,0,,,,0,0,,,,0,0,,,,464,秩序植物,0,0,,,0,0,0,0,0,0,1
812090101,1_901_02,1_901_01_10,2,0,0,,,,0,0,,,,0,0,,,,464,秩序植物,0,0,,,0,0,0,0,0,0,1
812090102,1_901_03,1_901_01_10,2,0,0,,,,0,0,,,,0,0,,,,464,秩序植物,0,0,,,0,0,0,0,0,0,1
812090103,1_901_04,1_901_01_10,2,0,0,,,,0,0,,,,0,0,,,,464,秩序植物,0,0,,,0,0,0,0,0,0,1
812090200,1_902_01,1_902_01_10,2,0,0,,,,0,0,,,,0,0,,,,466,混沌植物,0,0,,,0,0,0,0,0,0,1
812090201,1_902_02,1_902_01_10,2,0,0,,,,0,0,,,,0,0,,,,466,混沌植物,0,0,,,0,0,0,0,0,0,1
812090202,1_902_03,1_902_01_10,2,0,0,,,,0,0,,,,0,0,,,,466,混沌植物,0,0,,,0,0,0,0,0,0,1
812090203,1_902_04,1_902_01_10,2,0,0,,,,0,0,,,,0,0,,,,466,混沌植物,0,0,,,0,0,0,0,0,0,1
814000000,2_999_01,2_999_01_10,3,0,0,,,,0,0,,,,0,0,,,,***,包袱,0,0,,,0,0,0,1,0,0,1
814000001,2_999_03,2_999_01_10,3,0,0,,,,0,0,,,,0,0,,,,0,包袱,0,0,,,0,0,0,1,0,0,1
815000101,2_501_01,2_501_01_10,4,0,0,,,,0,0,,,,0,0,,,,,,0,0,,,1,0,0,1,0,0,1
815000102,2_501_02,2_501_02_10,4,0,0,,,,0,0,,,,0,0,,,,,,0,0,,,1,0,0,1,0,0,1
815000121,2_512_01,2_512_01_10,4,0,0,,,,0,0,,,,0,0,,,,,,0,0,,,1,0,0,1,0,0,1
815000122,2_512_02,2_512_02_10,4,0,0,,,,0,0,,,,0,0,,,,,,0,0,,,1,0,0,1,0,0,1
815000201,2_503_01,2_503_01_10,4,0,0,,,,0,0,,,,0,0,,,,,,0,0,,,1,0,0,1,0,0,1
815000202,2_503_02,2_503_02_10,4,0,0,,,,0,0,,,,0,0,,,,,,0,0,,,1,0,0,1,0,0,1
815000301,2_506_01,2_506_01_10,4,0,0,,,,0,0,,,,0,0,,,,,,0,0,,,1,0,0,1,0,0,1
815000302,2_506_02,2_506_02_10,4,0,0,,,,0,0,,,,0,0,,,,,,0,0,,,1,0,0,1,0,0,1
815000401,2_507_01,2_507_01_10,4,0,0,,,,0,0,,,,0,0,,,,,,0,0,,,1,0,0,1,0,0,1
815000402,2_507_02,2_507_02_10,4,0,0,,,,0,0,,,,0,0,,,,,,0,0,,,1,0,0,1,0,0,1
815000501,2_505_01,2_505_01_10,4,0,0,,,,0,0,,,,0,0,,,,,,0,0,,,1,0,0,1,0,0,1
815000502,2_505_02,2_505_02_10,4,0,0,,,,0,0,,,,0,0,,,,,,0,0,,,1,0,0,1,0,0,1
815000503,2_508_01,2_508_01_10,4,0,0,,,,0,0,,,,0,0,,,,,,0,0,,,1,0,0,1,0,0,1
815000505,2_509_01,2_509_01_10,4,0,0,,,,0,0,,,,0,0,,,,,,0,0,,,1,0,0,1,0,0,1
815000507,2_510_01,2_510_01_10,4,0,0,,,,0,0,,,,0,0,,,,,,0,0,,,1,0,0,1,0,0,1
815000508,2_510_02,2_510_02_10,4,0,0,,,,0,0,,,,0,0,,,,,,0,0,,,1,0,0,1,0,0,1
815000509,2_511_01,2_511_01_10,4,0,0,,,,0,0,,,,0,0,,,,,,0,0,,,1,0,0,1,0,0,1
815000510,2_511_02,2_511_02_10,4,0,0,,,,0,0,,,,0,0,,,,,,0,0,,,1,0,0,1,0,0,1
815000511,2_515_01,2_515_01_10,4,0,0,,,,0,0,,,,0,0,,,,,,0,0,,,1,0,0,1,0,0,1
815000512,2_515_02,2_515_02_10,4,0,0,,,,0,0,,,,0,0,,,,,,0,0,,,1,0,0,1,0,0,1
815000513,2_517_01,2_517_01_10,4,0,0,,,,0,0,,,,0,0,,,,,,0,0,,,1,0,0,1,0,0,1
815000514,2_517_02,2_517_02_10,4,0,0,,,,0,0,,,,0,0,,,,,,0,0,,,1,0,0,1,0,0,1
815000515,2_518_01,2_518_01_10,4,0,0,,,,0,0,,,,0,0,,,,,,0,0,,,1,0,0,1,0,0,1
815000516,2_518_02,2_518_02_10,4,0,0,,,,0,0,,,,0,0,,,,,,0,0,,,1,0,0,1,0,0,1
815000517,2_519_01,2_519_01_10,4,0,0,,,,0,0,,,,0,0,,,,,,0,0,,,1,0,0,1,0,0,1
815000518,2_519_02,2_519_02_10,4,0,0,,,,0,0,,,,0,0,,,,,,0,0,,,1,0,0,1,0,0,1
815100000,2_500_01,2_500_01_10,4,0,0,,,,0,0,,,,0,0,,,,,,0,0,,,1,0,0,0,0,0,1
815100001,2_500_02,2_500_01_10,4,0,0,,,,0,0,,,,0,0,,,,,,0,0,,,1,0,0,0,0,0,1
815100002,2_500_05,2_500_01_10,4,0,0,,,,0,0,,,,0,0,,,,,,0,0,,,1,0,0,0,0,0,1
815100003,2_500_04,2_500_01_10,4,0,0,,,,0,0,,,,0,0,,,,,,0,0,,,1,0,0,0,0,0,1
815100004,2_500_06,2_500_02_10,4,0,0,,,,0,0,,,,0,0,,,,,,0,0,,,1,0,0,0,0,0,1
815100101,2_502_01,2_502_01_10,4,0,0,,,,0,0,,,,0,0,,,,,,0,0,,,1,0,0,0,0,0,1
815100102,2_502_02,2_502_02_10,4,0,0,,,,0,0,,,,0,0,,,,,,0,0,,,1,0,0,0,0,0,1
815100201,2_504_01,2_504_01_10,4,0,0,,,,0,0,,,,0,0,,,,,,0,0,,,1,0,0,0,0,0,1
815100202,2_504_02,2_504_02_10,4,0,0,,,,0,0,,,,0,0,,,,,,0,0,,,1,0,0,0,0,0,1
815100504,2_508_02,2_508_02_10,4,0,0,,,,0,0,,,,0,0,,,,,,0,0,,,1,0,0,0,0,0,1
815100506,2_509_02,2_509_02_10,4,0,0,,,,0,0,,,,0,0,,,,,,0,0,,,1,0,0,0,0,0,1
815100511,2_513_01,2_513_01_10,4,0,0,,,,0,0,,,,0,0,,,,,,0,0,,,1,0,0,0,0,0,1
815100512,2_513_02,2_513_02_10,4,0,0,,,,0,0,,,,0,0,,,,,,0,0,,,1,0,0,0,0,0,1
815100513,2_514_01,2_514_01_10,4,0,0,,,,0,0,,,,0,0,,,,,,0,0,,,1,0,0,0,0,0,1
815100514,2_514_02,2_514_02_10,4,0,0,,,,0,0,,,,0,0,,,,,,0,0,,,1,0,0,0,0,0,1
815100515,2_516_01,2_516_01_10,4,0,0,,,,0,0,,,,0,0,,,,,,0,0,,,1,0,0,0,0,0,1
810000370,3_050_01,,6,0,0,,,,0,0,,,,0,0,,,,81,麥當當叔叔,10004000,1,,,1,1,0,1,10007000,2,1
810000371,2_002_71,2_002_71_10,1,0,0,,,,0,0,,,,0,0,,,,81,薯條,10004000,187,,,1,1,0,1,10007000,2,1
810000372,2_002_72,2_002_72_10,1,0,0,,,,0,0,,,,0,0,,,,81,棋子神像,10004000,1,,,1,1,0,1,10007000,3,1
810000373,3_054_01,,6,0,0,,,,0,0,,,,0,0,,,,82,山嶺巨人,10004000,1,,,1,1,0,1,10007000,3,1
810000374,3_055_01,,6,0,0,,,,0,0,,,,0,0,,,,82,石像巨人,10004000,1,,,1,1,0,1,10007000,3,1
810000375,3_056_01,,6,0,0,,,,0,0,,,,0,0,,,,82,金剛巨人,10004000,1,,,1,1,0,1,10007000,4,1
810000376,2_002_73,2_002_73_10,1,0,0,,,,0,0,,,,0,0,,,,82,喬安潘,10004000,189,,,1,1,0,1,10007000,5,1
810000377,2_002_71,2_002_71_10,1,0,0,,,,0,0,,,,0,0,,,,81,薯條加番茄醬,10004000,1,,,1,1,0,1,10007000,3,1
810090104,2_998_08,2_998_08_10,1,0,0,,,,0,0,,,,0,0,,,,90,鼴鼠 (青)旗幟,0,0,,,0,1,0,1,0,0,1
810090105,2_998_09,2_998_09_10,1,0,0,,,,0,0,,,,0,0,,,,90,鼴鼠(白)旗幟,0,0,,,0,1,0,1,0,0,1
810090106,2_998_05,2_998_05_10,1,0,0,,,,0,0,,,,0,0,,,,90,青鼴鼠,0,0,,,0,0,0,1,0,0,1
810090107,2_998_06,2_998_06_10,1,0,0,,,,0,0,,,,0,0,,,,90,白鼴鼠,0,0,,,0,0,0,1,0,0,1
810090108,2_700_46,,1,0,0,,,,0,0,,,,0,0,,,,90,鼴鼠傷害(青),0,0,,,0,0,0,1,0,0,1
810090109,2_700_46,,1,0,0,,,,0,0,,,,0,0,,,,90,鼴鼠傷害(白),0,0,,,0,0,0,1,0,0,1
810090110,2_700_46,,1,0,0,,,,0,0,,,,0,0,,,,90,鼴鼠獎勵 1 (青),0,0,,,0,0,0,1,0,0,1
810090111,2_700_46,,1,0,0,,,,0,0,,,,0,0,,,,90,鼴鼠獎勵 1(白),0,0,,,0,0,0,1,0,0,1
810090112,3_998_37,,6,0,0,,,,0,0,,,,0,0,,,,90,青氣球,0,0,,,1,0,0,1,0,0,1
810090113,3_998_39,,6,0,0,,,,0,0,,,,0,0,,,,90,白氣球,0,0,,,1,0,0,1,0,0,1
810090114,2_700_46,,1,0,0,,,,0,0,,,,0,0,,,,90,鼴鼠歸還,0,0,,,0,0,15498,1,0,0,1
810090115,3_998_44,,6,0,0,,,,0,0,,,,0,0,,,,10,葫蘆 (青),0,0,,,0,1,0,1,0,0,1
810090116,3_998_45,,6,0,0,,,,0,0,,,,0,0,,,,10,葫蘆(白),0,0,,,0,1,0,1,0,0,1
810090117,2_998_07,2_998_07_10,1,0,0,,,,0,0,,,,0,0,,,,0,豆袋,0,0,,,0,0,0,1,0,0,1
810090118,2_700_46,,1,0,0,,,,0,0,,,,0,0,,,,10,葫蘆獎勵 1(青),0,0,,,0,0,0,1,0,0,1
810090119,2_700_46,,1,0,0,,,,0,0,,,,0,0,,,,10,葫蘆獎勵 1(白),0,0,,,0,0,0,1,0,0,1
810090120,3_998_37,,6,0,0,,,,0,0,,,,0,0,,,,10,青氣球,0,0,,,1,0,0,1,0,0,1
810090121,3_998_39,,6,0,0,,,,0,0,,,,0,0,,,,10,白氣球,0,0,,,1,0,0,1,0,0,1
810090122,2_700_46,,1,0,0,,,,0,0,,,,0,0,,,,10,葫蘆歸還,0,0,,,0,0,15499,1,0,0,1
810090123,3_998_37,,6,0,0,,,,0,0,,,,0,0,,,,378,氣球,0,0,,,0,0,0,0,0,0,1
810090124,3_998_38,,6,0,0,,,,0,0,,,,0,0,,,,378,氣球,0,0,,,0,0,0,0,0,0,1
810090125,3_998_39,,6,0,0,,,,0,0,,,,0,0,,,,378,氣球,0,0,,,0,0,0,0,0,0,1
810090126,3_998_40,,6,0,0,,,,0,0,,,,0,0,,,,378,氣球,0,0,,,0,0,0,0,0,0,1
810090127,3_998_41,,6,0,0,,,,0,0,,,,0,0,,,,378,氣球,0,0,,,0,0,0,0,0,0,1
810090128,3_998_42,,6,0,0,,,,0,0,,,,0,0,,,,378,氣球,0,0,,,0,0,0,0,0,0,1
810090129,3_998_43,,6,0,0,,,,0,0,,,,0,0,,,,378,氣球,0,0,,,0,0,0,0,0,0,1
810090130,2_700_46,,1,0,0,,,,0,0,,,,0,0,,,,"10,90",,0,0,,,0,0,0,1,0,0,1
810090131,2_700_46,,1,0,0,,,,0,0,,,,0,0,,,,"10,90",,0,0,,,0,0,0,1,0,0,1
810090132,2_700_01,,1,0,0,,,,0,0,,,,0,0,,,,10,鐵突刺,0,0,,,0,0,0,0,0,0,1
810090133,2_600_27,2_600_27_10,1,0,0,,,,0,0,,,,0,0,,,,"2,6,35,64",禮炮,0,0,,,0,0,0,1,0,0,1
810090134,2_600_17,2_600_08_10,1,0,0,,,,0,0,,,,0,0,,,,"2,6,35,64",禮炮煙花,0,0,,,0,0,0,0,0,0,1
810090135,2_001_51,2_001_51_10,1,0,0,,,,0,0,,,,0,0,,,,"2,6,35,64",活動耶比,0,0,,,0,0,0,0,0,0,1
810090136,2_001_51,2_001_51_10,1,0,0,,,,0,0,,,,0,0,,,,"2,6,35,64",活動耶比,0,0,,,0,0,0,0,0,0,1
810090137,2_998_03,,1,0,0,,,,0,0,,,,0,0,,,,"2,6,35,64",,0,0,,,0,0,0,0,0,0,1
810090138,2_998_03,,1,0,0,,,,0,0,,,,0,0,,,,"2,6,35,64",,0,0,,,0,0,0,0,0,0,1
810000378,3_060_01,,6,0,0,,,,0,0,,,,0,0,,,,85,小海膽,10004000,1,,,1,1,0,1,10007000,2,1
810000379,3_062_01,,6,0,0,,,,0,0,,,,0,0,,,,85,藍烏龜,10004000,1,,,1,1,0,1,10007000,2,1
810000380,3_061_01,,6,0,0,,,,0,0,,,,0,0,,,,85,人魚公主,10004000,1,,,1,1,0,1,10007000,2,1
810000381,2_002_79,2_002_79_10,1,0,0,,,,0,0,,,,0,0,,,,85,海豚姑娘,10004000,1,,,1,1,0,1,10007000,2,1
810000382,3_064_01,,6,0,0,,,,0,0,,,,0,0,,,,87,卡伊,10004000,1,,,1,1,0,1,10007000,2,1
810000383,3_063_01,,6,0,0,,,,0,0,,,,0,0,,,,87,機甲戰士,10004000,1,,,1,1,0,1,10007000,2,1
810000384,3_065_01,,6,0,0,,,,0,0,,,,0,0,,,,87,霏霏,10004000,1,,,1,1,0,1,10007000,2,1
810000385,3_066_01,,6,0,0,,,,0,0,,,,0,0,,,,87,閃電,10004000,1,,,1,1,0,1,10007000,2,1
810000386,3_067_01,,6,0,0,,,,0,0,,,,0,0,,,,88,華爾基莉,10004000,1,,,1,1,0,1,10007000,3,1
810000387,3_068_01,,6,0,0,,,,0,0,,,,0,0,,,,88,哄芭芭,10004000,1,,,1,1,0,1,10007000,3,1
810000388,3_069_01,,6,0,0,,,,0,0,,,,0,0,,,,88,貞德,10004000,1,,,1,1,0,1,10007000,3,1
810000389,3_057_01,,6,0,0,,,,0,0,,,,0,0,,,,82,火焰巨人,10004000,1,,,1,1,0,1,10007000,3,1
810000390,3_058_01,,6,0,0,,,,0,0,,,,0,0,,,,88,冰霜巨人,10004000,1,,,1,1,0,1,10007000,3,1
810000391,3_070_01,,6,0,0,,,,0,0,,,,0,0,,,,88,藍色芙尼克斯,10004000,215,,,1,1,0,1,10007000,5,1
812010107,1_100_35,1_100_35_10,2,0,0,,,,0,0,,,,0,0,,,,"2,6,8",傑尼斯,10005000,135,,,1,1,0,1,10007000,3,1
812010108,1_100_35,1_100_35_10,2,0,0,,,,0,0,,,,0,0,,,,89,傑尼斯,10005000,135,,,1,1,0,1,10007000,3,1
812010109,1_100_36,1_100_36_10,2,0,0,,,,0,0,,,,0,0,,,,"6,8,89",卡特,10005000,136,,,1,1,0,1,10007000,3,1
