ID,_Mission_Name,_Mission_Description,_Mission_Kind1,_Mission_ID1,_Mission_Count1,_Mission_Kind2,_Mission_ID2,_Mission_Count2,_Mission_Purpseposition,_Mission_Reward_Point
100175,凋謝的玫瑰,執行地區: 玫瑰園\n\n「來自其他世界的罪人…與我無關。」,1,810009158,1,0,0,0,462,600
100176,預言的賢者,執行地區: 聖域艾多斯\n\n「要等待有預知能力的人還差得遠呢…。」,1,810009339,50,0,0,0,471,500
100177,沉睡於聖域的記憶,執行地區: 聖域艾多斯\n\n「…這是你的記憶啊。是什麼讓你這麼痛苦呢?」,1,810009340,50,0,0,0,471,500
100178,在混沌之下,執行地區: 聖域艾多斯\n\n「不要以為所有的大陸都會如你所願。」,1,810009341,50,0,0,0,471,500
100179,親愛的孩子,執行地區: 聖域艾多斯\n\n「你在這裡停留了很久啊，謝謝你…。」,1,810009342,50,0,0,0,471,500
100180,天使的問候,執行地區: 希萊\n\n「你好啊，向米卡打招呼吧，是那位派你來的啊。」,1,810009359,1,0,0,0,471,600
100181,某個約定的意義,執行地區: 誓約的聖地\n\n「你的藍色蝴蝶向我靠近，變成了黑暗…。」,1,810009360,1,0,0,0,471,600
100182,活蹦亂跳的動物,執行地區:底波拉雪原\n\n「真是個活潑的孩子。你認得出我嗎?」,1,810009496,35,0,0,0,490,500
100183,溫暖的雪之子,執行地區:底波拉雪原\n\n「這裡真的很冷呢。不過心裡感覺很溫暖。」,1,810009497,35,0,0,0,490,500
100184,守護村莊的女戰士,執行地區:底波拉雪原\n\n「格爾答的女性的確很強呢，梅莉亞。」,1,810009498,35,0,0,0,490,500
100185,曾經是雪原的主人,執行地區:冰柱監獄\n\n「對不起，沒有顧及到雪人。」,1,810009518,1,0,0,0,490,600
100186,小巧可愛的水精靈,執行地區:回音之泉\n\n「明明很可愛，卻討厭聽到別人說自己可愛…」,1,810009520,1,0,0,0,490,600
100187,別再說同樣的話了,執行地區:回音之泉\n\n「裔奧跟艾可是朋友嗎?」,1,810009519,1,0,0,0,490,600
